Site,Variant,Side,MoveId,Move,FEN,Eval
https://lichess.org/xoMXrRFU,Standard,w,5,e5,rnbqkbnr/ppp2ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,cp 29 lowerbound
https://lichess.org/xoMXrRFU,Standard,w,6,c5,rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,cp -28 upperbound
https://lichess.org/xoMXrRFU,Standard,w,7,Nf3,rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 4,cp 18 lowerbound
https://lichess.org/xoMXrRFU,Standard,w,8,cxd4,rnbqkbnr/pp3ppp/4p3/3pP3/3p4/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 5,cp -17 upperbound
https://lichess.org/xoMXrRFU,Standard,w,9,Nxd4,rnbqkbnr/pp3ppp/4p3/3pP3/3N4/8/PPP2PPP/RNBQKB1R b KQkq - 0 5,cp 24 upperbound
https://lichess.org/xoMXrRFU,Standard,w,10,Bc5,rnbqk1nr/pp3ppp/4p3/2bpP3/3N4/8/PPP2PPP/RNBQKB1R w KQkq - 1 6,cp 44 lowerbound
https://lichess.org/xoMXrRFU,Standard,w,11,c3,rnbqk1nr/pp3ppp/4p3/2bpP3/3N4/2P5/PP3PPP/RNBQKB1R b KQkq - 0 6,cp -49 lowerbound
https://lichess.org/xoMXrRFU,Standard,w,12,Ne7,rnbqk2r/pp2nppp/4p3/2bpP3/3N4/2P5/PP3PPP/RNBQKB1R w KQkq - 1 7,cp 42 upperbound
https://lichess.org/xoMXrRFU,Standard,w,13,b4,rnbqk2r/pp2nppp/4p3/2bpP3/1P1N4/2P5/P4PPP/RNBQKB1R b KQkq - 0 7,cp -36 upperbound
https://lichess.org/xoMXrRFU,Standard,w,14,Bb6,rnbqk2r/pp2nppp/1b2p3/3pP3/1P1N4/2P5/P4PPP/RNBQKB1R w KQkq - 1 8,cp -35 lowerbound
https://lichess.org/xoMXrRFU,Standard,w,15,Bb5+,rnbqk2r/pp2nppp/1b2p3/1B1pP3/1P1N4/2P5/P4PPP/RNBQK2R b KQkq - 2 8,cp 37 upperbound
https://lichess.org/xoMXrRFU,Standard,w,16,Nbc6,r1bqk2r/pp2nppp/1bn1p3/1B1pP3/1P1N4/2P5/P4PPP/RNBQK2R w KQkq - 3 9,cp -32 lowerbound
https://lichess.org/xoMXrRFU,Standard,w,17,Nxc6,r1bqk2r/pp2nppp/1bN1p3/1B1pP3/1P6/2P5/P4PPP/RNBQK2R b KQkq - 0 9,cp 30
https://lichess.org/xoMXrRFU,Standard,w,18,Nxc6,r1bqk2r/pp3ppp/1bn1p3/1B1pP3/1P6/2P5/P4PPP/RNBQK2R w KQkq - 0 10,cp -37 upperbound
