Event,Site,Date,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,Variant,TimeControl,ECO,Termination,FEN,SetUp,PGN,turn_1,turn_2,turn_3,turn_4,turn_5,turn_6,turn_7,turn_8,turn_1_eval,turn_2_eval,turn_3_eval,turn_4_eval,turn_5_eval,turn_6_eval,turn_7_eval,turn_8_eval
Rated Blitz game,https://lichess.org/LQkfQi6F,2022.09.09,Mister_No,cubicinfinity,1-0,2022.09.09,22:30:37,938,926,+6,-6,Standard,300+3,A00,Time forfeit,NA,NA,1. g3 e5 2. Bg2 d5 3. e3 Nf6 4. d3 Bd6 5. Nh3 Nc6 6. O-O Bf5 7. f3 Qd7 8. g4 Be6 9. e4 dxe4 10. dxe4 O-O-O 11. Nc3 Bc5+ 12. Nf2 Bxf2+ 13. Rxf2 Qxd1+ 14. Rf1 Qxc2 15. Be3 Qxb2 16. Rac1 a6 17. Na4 Qxa2 18. Nc5 b6 19. Ra1 Qxa1 20. Rxa1 bxc5 21. Bf1 Kd7 22. Rd1+ Ke7 23. Bxc5+ 1-0,rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1,rnbqkbnr/pppp1ppp/8/4p3/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,rnbqkbnr/pppp1ppp/8/4p3/8/6P1/PPPPPPBP/RNBQK1NR b KQkq - 1 2,rnbqkbnr/ppp2ppp/8/3pp3/8/6P1/PPPPPPBP/RNBQK1NR w KQkq - 0 3,rnbqkbnr/ppp2ppp/8/3pp3/8/4P1P1/PPPP1PBP/RNBQK1NR b KQkq - 0 3,rnbqkb1r/ppp2ppp/5n2/3pp3/8/4P1P1/PPPP1PBP/RNBQK1NR w KQkq - 1 4,rnbqkb1r/ppp2ppp/5n2/3pp3/8/3PP1P1/PPP2PBP/RNBQK1NR b KQkq - 0 4,rnbqk2r/ppp2ppp/3b1n2/3pp3/8/3PP1P1/PPP2PBP/RNBQK1NR w KQkq - 1 5,cp 16 lowerbound,cp -9,cp 12 upperbound,cp -8 upperbound,cp -16 lowerbound,cp 18,cp -13,cp -12 upperbound
Rated Blitz game,https://lichess.org/P2Fgi9C1,2022.09.09,Coldh4rt,cubicinfinity,0-1,2022.09.09,22:19:18,800,922,-11,+4,Standard,300+3,B00,Time forfeit,NA,NA,1. e4 h5 2. Nf3 d5 3. Nc3 dxe4 4. Nxe4 Qd5 5. Nc3 Qa5 6. Bb5+ Nc6 7. Ba4 Bd7 8. O-O e6 9. d3 O-O-O 10. Bd2 Nd4 11. Nxd4 Bxa4 12. Nxa4 Rxd4 13. Bxa5 Rxa4 14. Bc3 Nf6 15. h3 Nd5 16. Bxg7 Bxg7 17. b3 Ra6 18. a4 Rd6 19. Qf3 Bxa1 20. Qxf7 Bc3 21. Qxe6+ Rd7 22. Re1 Bxe1 0-1,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/ppppppp1/8/7p/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/ppppppp1/8/7p/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,rnbqkbnr/ppp1ppp1/8/3p3p/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,rnbqkbnr/ppp1ppp1/8/3p3p/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,rnbqkbnr/ppp1ppp1/8/7p/4p3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 4,rnbqkbnr/ppp1ppp1/8/7p/4N3/5N2/PPPP1PPP/R1BQKB1R b KQkq - 0 4,rnb1kbnr/ppp1ppp1/8/3q3p/4N3/5N2/PPPP1PPP/R1BQKB1R w KQkq - 1 5,cp 18,cp -20 lowerbound,cp 26,cp -15 upperbound,cp 18 lowerbound,cp -115,cp 117,cp -120
Rated Blitz game,https://lichess.org/b1rmNDbP,2022.09.09,cubicinfinity,Madeya,1-0,2022.09.09,22:10:53,915,970,+7,-6,Standard,300+3,C44,Normal,NA,NA,1. c4 e5 2. e4 Nc6 3. Nf3 Bc5 4. d3 a6 5. Nc3 d6 6. g3 h6 7. h4 Nf6 8. Nd5 Nxd5 9. exd5 Nd4 10. Be3 Nxf3+ 11. Qxf3 Bxe3 12. Qxe3 O-O 13. Be2 Re8 14. g4 b6 15. h5 b5 16. g5 bxc4 17. gxh6 gxh6 18. Qxh6 1-0,rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/pppp1ppp/8/4p3/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/pppp1ppp/8/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq - 0 2,r1bqkbnr/pppp1ppp/2n5/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq - 1 3,r1bqkbnr/pppp1ppp/2n5/4p3/2P1P3/5N2/PP1P1PPP/RNBQKB1R b KQkq - 2 3,r1bqk1nr/pppp1ppp/2n5/2b1p3/2P1P3/5N2/PP1P1PPP/RNBQKB1R w KQkq - 3 4,r1bqk1nr/pppp1ppp/2n5/2b1p3/2P1P3/3P1N2/PP3PPP/RNBQKB1R b KQkq - 0 4,r1bqk1nr/1ppp1ppp/p1n5/2b1p3/2P1P3/3P1N2/PP3PPP/RNBQKB1R w KQkq - 0 5,cp -121,cp 124 lowerbound,cp -116,cp -22,cp 18 upperbound,cp -21,cp 20,cp -22
Rated Blitz game,https://lichess.org/MNFkpeQY,2022.09.09,rastergulp,cubicinfinity,1/2-1/2,2022.09.09,21:56:21,890,916,+1,-1,Standard,300+3,D00,Normal,NA,NA,1. e3 d5 2. d4 Bf5 3. Bd3 Bxd3 4. Qxd3 Nf6 5. Nf3 e6 6. O-O Be7 7. Nc3 c6 8. e4 dxe4 9. Nxe4 O-O 10. Re1 Nxe4 11. Qxe4 g6 12. Ne5 Qd5 13. Bh6 Qxe4 14. Rxe4 Rd8 15. f4 f5 16. Ree1 Bf6 17. g4 Rxd4 18. Rad1 Rxd1 19. Rxd1 Bxe5 20. Rd8+ Kf7 21. fxe5 Ke7 22. Rh8 a5 23. Rxh7+ Kd8 24. Bg5+ Kc8 25. Re7 Nd7 26. Re8+ Kc7 27. Rxa8 b6 28. Rg8 c5 29. Rxg6 Nxe5 30. Rxe6 Nxg4 31. Re7+ Kd6 32. h3 Ne5 33. h4 Ng6 34. h5 Nxe7 35. Bxe7+ Kxe7 36. h6 Kf8 37. h7 Kg7 38. h8=Q+ Kxh8 39. Kf2 Kg7 40. Kf3 Kg6 41. Kf4 b5 42. a3 c4 43. b3 c3 44. a4 bxa4 45. bxa4 Kf6 46. Kf3 Ke5 47. Ke3 f4+ 48. Kf3 Kd5 49. Kxf4 Kc5 50. Ke3 Kb4 51. Kd3 Kxa4 52. Kxc3 Kb5 53. Kb3 a4+ 54. Ka3 Ka5 55. c3 Kb5 56. Ka2 Kc4 57. Kb2 a3+ 58. Kxa3 Kxc3 1/2-1/2,rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/ppp1pppp/8/3p4/8/4P3/PPPP1PPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/ppp1pppp/8/3p4/3P4/4P3/PPP2PPP/RNBQKBNR b KQkq - 0 2,rn1qkbnr/ppp1pppp/8/3p1b2/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq - 1 3,rn1qkbnr/ppp1pppp/8/3p1b2/3P4/3BP3/PPP2PPP/RNBQK1NR b KQkq - 2 3,rn1qkbnr/ppp1pppp/8/3p4/3P4/3bP3/PPP2PPP/RNBQK1NR w KQkq - 0 4,rn1qkbnr/ppp1pppp/8/3p4/3P4/3QP3/PPP2PPP/RNB1K1NR b KQkq - 0 4,rn1qkb1r/ppp1pppp/5n2/3p4/3P4/3QP3/PPP2PPP/RNB1K1NR w KQkq - 1 5,cp -22,cp 23 lowerbound,cp -18 lowerbound,cp 8,cp -18 upperbound,cp 10 lowerbound,cp -21 upperbound,cp 15 lowerbound
Rated Blitz game,https://lichess.org/9uAOxOsG,2022.09.09,Domingo1987,cubicinfinity,1-0,2022.09.09,21:42:20,930,921,+6,-5,Standard,300+3,A45,Time forfeit,NA,NA,1. d4 d5 2. Nc3 Nf6 3. Nf3 Nc6 4. Bg5 Ne4 5. Nxe4 f6 6. Bxf6 exf6 7. Nc5 b6 8. Nb3 Bf5 9. h3 Nb4 10. e3 Nxc2+ 11. Kd2 Nxa1 12. Bb5+ Bd7 13. Bxd7+ Qxd7 14. Nxa1 Bb4+ 15. Ke2 Qb5+ 16. Qd3 Qxd3+ 17. Kxd3 c5 18. a3 Bxa3 19. bxa3 c4+ 20. Kc3 O-O 21. Nc2 g5 22. g4 b5 23. Nb4 Rfd8 24. Rb1 Rd6 25. h4 a5 26. Nc2 Rb6 27. hxg5 fxg5 28. Nxg5 Kg7 29. f4 Kg6 30. e4 h6 31. Nf3 dxe4 32. f5+ Kf6 33. Ne5 Rab8 34. Nd7+ Kg5 35. Nxb8 Rxb8 36. a4 Kxg4 37. Ne3+ Kf4 38. Rxb5 1-0,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/ppp1pppp/8/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq - 1 2,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq - 2 3,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 3 3,r1bqkb1r/ppp1pppp/2n2n2/3p4/3P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 4 4,r1bqkb1r/ppp1pppp/2n2n2/3p2B1/3P4/2N2N2/PPP1PPPP/R2QKB1R b KQkq - 5 4,r1bqkb1r/ppp1pppp/2n5/3p2B1/3Pn3/2N2N2/PPP1PPPP/R2QKB1R w KQkq - 6 5,cp -16 lowerbound,cp 15 lowerbound,cp -18,cp 17 lowerbound,cp 20 lowerbound,cp -13 upperbound,cp 16,cp -27
Rated Blitz game,https://lichess.org/Ls52cAHL,2022.09.09,cubicinfinity,Domingo1987,0-1,2022.09.09,21:33:09,927,924,-6,+6,Standard,300+3,D02,Normal,NA,NA,1. d4 d5 2. Nf3 Nf6 3. Bf4 Bg4 4. e3 e6 5. Nbd2 h6 6. h3 Bxf3 7. Qxf3 Nc6 8. O-O-O g5 9. Be5 Nxe5 10. dxe5 Qd7 11. Qxf6 Rg8 12. b3 Bg7 13. Qf3 Bxe5 14. Ne4 Qe7 15. Nd2 Qa3+ 16. Kb1 Qb2# 0-1,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 2 3,rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 3 3,rn1qkb1r/ppp1pppp/5n2/3p4/3P1Bb1/5N2/PPP1PPPP/RN1QKB1R w KQkq - 4 4,rn1qkb1r/ppp1pppp/5n2/3p4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R b KQkq - 0 4,rn1qkb1r/ppp2ppp/4pn2/3p4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq - 0 5,cp -16 lowerbound,cp 12 lowerbound,cp -10,cp 27 lowerbound,cp -24,cp 27 lowerbound,cp -18 upperbound,cp 19
Rated Blitz game,https://lichess.org/vQ8vRoKD,2022.09.08,ata26,cubicinfinity,0-1,2022.09.08,22:09:09,945,921,-6,+6,Standard,300+3,D04,Normal,NA,NA,1. Nf3 d5 2. d4 Nf6 3. e3 Bf5 4. Bb5+ c6 5. Ba4 e6 6. Nh4 b5 7. Bb3 c5 8. dxc5 Bxc5 9. Nxf5 exf5 10. Nc3 O-O 11. Nxd5 Nxd5 12. Bxd5 Nc6 13. Qf3 Nb4 14. Bxa8 Nxc2+ 15. Ke2 Nxa1 16. Qxf5 Qxa8 17. Qxc5 Qxg2 18. Rd1 h6 19. Bd2 Qxh2 20. Rxa1 g6 21. Qxb5 Qh5+ 22. Kd3 Qxb5+ 23. Kc2 Rc8+ 24. Bc3 Qe2+ 25. Kb3 Qxf2 26. Be1 Qxe3+ 27. Ka4 Rc1 28. Rxc1 Qxc1 29. Bc3 h5 0-1,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 2,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 1 3,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq - 1 4,rn1qkb1r/ppp1pppp/5n2/1B1p1b2/3P4/4PN2/PPP2PPP/RNBQK2R b KQkq - 2 4,rn1qkb1r/pp2pppp/2p2n2/1B1p1b2/3P4/4PN2/PPP2PPP/RNBQK2R w KQkq - 0 5,cp -12,cp 11,cp -17 upperbound,cp 16,cp -15 lowerbound,cp 13,cp -11 lowerbound,cp 22
Rated Blitz game,https://lichess.org/H5vZ3tBW,2022.09.08,cubicinfinity,Heritage280,0-1,2022.09.08,21:58:57,925,1030,-4,+4,Standard,300+3,C46,Time forfeit,NA,NA,1. e4 e5 2. Nc3 Nc6 3. Nf3 f6 4. d4 exd4 5. Nxd4 Bc5 6. Nf3 g5 7. Bc4 Nh6 8. Qd5 Bb6 9. O-O Nb4 10. Qd2 Ng4 11. a3 Nc6 12. h3 Nge5 13. Nxe5 Nxe5 14. b4 Nxc4 15. Qe2 Ne5 16. Bb2 d6 17. Nd5 g4 18. hxg4 Bxg4 19. Qd2 h5 20. Kh1 c6 21. Nxb6 axb6 22. f3 Be6 23. Bxe5 fxe5 24. c3 Qh4+ 25. Kg1 Rg8 26. Qf2 Qf4 27. Qxb6 Bh3 28. Qxb7 Bxg2 29. Kf2 Qxf3+ 0-1,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/pppp1ppp/8/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 3,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3,r1bqkbnr/pppp2pp/2n2p2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 4,r1bqkbnr/pppp2pp/2n2p2/4p3/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 4,r1bqkbnr/pppp2pp/2n2p2/8/3pP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 5,cp 16 lowerbound,cp -16,cp 12 lowerbound,cp -18 upperbound,cp 12 lowerbound,cp 105,cp -91 upperbound,cp 95
Rated Blitz game,https://lichess.org/LOJ4GoEf,2022.09.08,cubicinfinity,zodiac1007,1-0,2022.09.08,21:45:37,918,982,+7,-7,Standard,300+3,D00,Time forfeit,NA,NA,1. d4 d5 2. Bf4 Nf6 3. e3 Nc6 4. Bd3 e6 5. Nf3 Bd6 6. Ne5 Bxe5 7. dxe5 Nd7 8. Nc3 Ndxe5 9. Bb5 Bd7 10. Bxc6 Nxc6 11. O-O e5 12. Bg3 d4 13. exd4 exd4 14. Nd5 Rc8 15. Qe2+ Be6 16. Nf4 Qd7 17. Nh5 Ra8 18. Nxg7+ Ke7 19. Nxe6 Qxe6 20. Qxe6+ Kxe6 21. Bxc7 Rae8 22. Rae1+ Kd7 23. Bf4 Nb4 24. c3 Nc2 25. Rxe8 Rxe8 26. Rc1 d3 27. Bd2 Re7 28. g3 Kc8 29. h4 1-0,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq - 2 3,rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,r1bqkb1r/ppp1pppp/2n2n2/3p4/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq - 1 4,r1bqkb1r/ppp1pppp/2n2n2/3p4/3P1B2/3BP3/PPP2PPP/RN1QK1NR b KQkq - 2 4,r1bqkb1r/ppp2ppp/2n1pn2/3p4/3P1B2/3BP3/PPP2PPP/RN1QK1NR w KQkq - 0 5,cp -101,cp 96 upperbound,cp -98,cp -80,cp 88,cp -77,cp 82 upperbound,cp -86 upperbound
Rated Blitz game,https://lichess.org/xlHqpHbk,2022.09.08,cubicinfinity,berfuceni,0-1,2022.09.08,04:34:50,924,965,-6,+5,Standard,180+2,D00,Normal,NA,NA,1. d4 d5 2. Bf4 a6 3. e3 Bf5 4. Nf3 e6 5. Bd3 Bxd3 6. Qxd3 Bd6 7. Ne5 Nd7 8. Nc3 f6 9. Nf3 Bxf4 10. exf4 Nh6 11. O-O Nf7 12. Rae1 O-O 13. Rxe6 Re8 14. Rxe8+ Qxe8 15. Re1 Nde5 16. fxe5 Qe6 17. b4 Re8 18. Re3 fxe5 19. Qe2 e4 20. Ne5 Nxe5 21. dxe5 Qxe5 22. Nxd5 Qxd5 23. Rxe4 Rxe4 0-1,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,rnbqkbnr/1pp1pppp/p7/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq - 0 3,rnbqkbnr/1pp1pppp/p7/3p4/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,rn1qkbnr/1pp1pppp/p7/3p1b2/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq - 1 4,rn1qkbnr/1pp1pppp/p7/3p1b2/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq - 2 4,rn1qkbnr/1pp2ppp/p3p3/3p1b2/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq - 0 5,cp 87 lowerbound,cp -81 lowerbound,cp 85,cp -78 lowerbound,cp 71,cp -76 upperbound,cp 85 upperbound,cp -81 lowerbound
Rated Blitz game,https://lichess.org/00WyWZds,2022.09.08,berfuceni,cubicinfinity,0-1,2022.09.08,04:26:29,971,916,-6,+8,Standard,180+2,D00,Normal,NA,NA,1. d4 d5 2. Bf4 Nf6 3. h3 Nh5 4. Be5 f6 5. Bh2 g5 6. e3 Nc6 7. Ne2 e5 8. Nd2 e4 9. Nb3 f5 10. f4 gxf4 11. Nxf4 Nxf4 12. Bxf4 Qh4+ 13. Kd2 Qf2+ 14. Be2 Qxg2 15. Kc1 Be6 16. Nd2 O-O-O 17. c4 Rg8 18. Rg1 Qxg1 19. Qxg1 Rxg1+ 20. Kc2 Rxa1 21. a3 Bd6 22. Nb1 Bxf4 23. exf4 Nxd4+ 24. Kc1 Nxe2+ 25. Kc2 Nxf4 26. b4 dxc4 27. Kb2 Rxb1+ 28. Kxb1 c3 29. Kc2 Rd2+ 30. Kxc3 Rd3+ 31. Kc2 Rxa3 32. Kb2 Rxh3 33. b5 Bc4 34. b6 axb6 35. Kc2 b5 36. Kd2 Re3 37. Kxe3 b4 38. Kxf4 b3 39. Kxf5 b2 40. Kxe4 b1=Q+ 41. Kd4 Qb3 42. Ke5 Qd3 43. Kf4 Qd5 44. Ke3 Kd7 45. Kf4 Ke6 46. Ke3 Ke5 47. Kf2 Qe4 48. Kg3 Kf5 49. Kf2 Kf4 50. Kg1 Qf3 51. Kh2 Qg3+ 52. Kh1 Qg4 53. Kh2 Kf3 54. Kh1 Qg2# 0-1,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq - 2 3,rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/7P/PPP1PPP1/RN1QKBNR b KQkq - 0 3,rnbqkb1r/ppp1pppp/8/3p3n/3P1B2/7P/PPP1PPP1/RN1QKBNR w KQkq - 1 4,rnbqkb1r/ppp1pppp/8/3pB2n/3P4/7P/PPP1PPP1/RN1QKBNR b KQkq - 2 4,rnbqkb1r/ppp1p1pp/5p2/3pB2n/3P4/7P/PPP1PPP1/RN1QKBNR w KQkq - 0 5,cp -30,cp 26,cp -29,cp 27,cp -26,cp 33 upperbound,cp 29,cp -32
Rated Blitz game,https://lichess.org/8mmtEIFQ,2022.09.07,ghffhfh,cubicinfinity,1/2-1/2,2022.09.07,17:53:06,921,916,+0,+0,Standard,300+3,C64,Normal,NA,NA,1. e4 e5 2. Nf3 Nc6 3. Bb5 Bc5 4. Bxc6 dxc6 5. Nxe5 Qd4 6. Qh5 Qxe4+ 7. Qe2 Qxe2+ 8. Kxe2 f6 9. Ng4 Bxg4+ 10. Kf1 O-O-O 11. Nc3 Ne7 12. h3 Bf5 13. g4 Bxc2 14. Ne4 Bxe4 1/2-1/2,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,r1bqk1nr/pppp1ppp/2n5/1Bb1p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,r1bqk1nr/pppp1ppp/2B5/2b1p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 0 4,r1bqk1nr/ppp2ppp/2p5/2b1p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 5,cp 22,cp -29 lowerbound,cp 23 upperbound,cp 20 upperbound,cp -10 lowerbound,cp 18 upperbound,cp -5 lowerbound,cp 8 upperbound
Rated Blitz game,https://lichess.org/JYAh6hTB,2022.09.07,qb_boe,cubicinfinity,0-1,2022.09.07,17:33:10,927,910,-7,+6,Standard,300+3,D00,Normal,NA,NA,1. d4 d5 2. Bf4 Nc6 3. e3 Bf5 4. Bd3 e6 5. Nf3 Bd6 6. Bg3 Qf6 7. c3 g5 8. Bxf5 Qxf5 9. Ne5 Nxe5 10. Nd2 Nd3+ 11. Ke2 Bxg3 12. hxg3 Nxb2 13. Qb1 Qxb1 14. Raxb1 Nc4 15. Nxc4 dxc4 16. Rxb7 c6 17. Rhb1 f5 18. f4 Ne7 19. Rb8+ Kf7 20. Rxa8 Rxa8 21. Rb7 h6 22. Kf3 g4+ 23. Kf2 a5 24. Rc7 Kf6 25. Rxc6 Nxc6 26. a4 Ne7 27. d5 Nxd5 28. Ke2 Nxc3+ 0-1,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,r1bqkbnr/ppp1pppp/2n5/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq - 2 3,r1bqkbnr/ppp1pppp/2n5/3p4/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,r2qkbnr/ppp1pppp/2n5/3p1b2/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq - 1 4,r2qkbnr/ppp1pppp/2n5/3p1b2/3P1B2/3BP3/PPP2PPP/RN1QK1NR b KQkq - 2 4,r2qkbnr/ppp2ppp/2n1p3/3p1b2/3P1B2/3BP3/PPP2PPP/RN1QK1NR w KQkq - 0 5,cp -8,cp 6,cp -9 lowerbound,cp -13 lowerbound,cp 12 upperbound,cp -8 upperbound,cp 18,cp -18 lowerbound
Rated Blitz game,https://lichess.org/BvJj9wnv,2022.09.05,cubicinfinity,ilarryndoro,1-0,2022.09.05,16:42:42,904,838,+6,-5,Standard,180+0,D02,Normal,NA,NA,1. d4 d5 2. Nf3 c5 3. dxc5 Nf6 4. Bf4 Nc6 5. Nc3 Qa5 6. e3 Qxc5 7. Nb5 Ne4 8. Nc7+ Kd8 9. Nxa8 d4 10. exd4 Qd5 11. Qd3 Bf5 12. Qc4 Qa5+ 13. c3 e6 14. Ne5 b5 15. Qxc6 Bb4 16. Nxf7+ Ke7 17. Nxh8 Nxc3 18. Qc7+ Kf6 19. Qf7# 1-0,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,rnbqkbnr/pp2pppp/8/2pp4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 3,rnbqkbnr/pp2pppp/8/2Pp4/8/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 3,rnbqkb1r/pp2pppp/5n2/2Pp4/8/5N2/PPP1PPPP/RNBQKB1R w KQkq - 1 4,rnbqkb1r/pp2pppp/5n2/2Pp4/5B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 2 4,r1bqkb1r/pp2pppp/2n2n2/2Pp4/5B2/5N2/PPP1PPPP/RN1QKB1R w KQkq - 3 5,cp -20,cp 21 lowerbound,cp -27 lowerbound,cp 12 upperbound,cp -16 lowerbound,cp 20 lowerbound,cp -15 upperbound,cp 21 lowerbound
